Ranking,CountryName,HappinessIndex,homelat,homelon
1,Finland,7662,,
2,Denmark,7547,,
3,Norway,7435,,
4,New Zealand,7286,,
5,Australia,7249,,
6,Canada,7219,,
7,Sweden,7184,,
8,Switzerland,7177,,
9,Netherlands,6945,,
10,Israel,6921,,
11,Ireland,6916,,
12,Austria,6903,,
13,United States,6878,,
14,Luxembourg,6802,,
15,Costa Rica,6726,,
16,United Arab Emirates,6685,,
17,United Kingdom,6677,,
18,Singapore,6607,,
19,Belgium,6601,,
20,Malta,6506,,
21,Qatar,6395,,
22,Uruguay,6374,,
23,Germany,6366,,
24,France,6352,,
25,Cyprus,6337,,
26,Panama,6336,,
27,Bahrain,6240,,
28,Kuwait,6207,,
29,Saudi Arabia,6155,,
30,Spain,6107,,
31,Venezuela,6086,,
32,Taiwan Province of China,6012,,
33,Italy,5960,,
34,Paraguay,5899,,
35,Czech Republic,5880,,
36,Argentina,5843,,
37,Kosovo,5726,,
38,Belarus,5715,,
39,Slovenia,5703,,
40,Portugal,5688,,
41,Uzbekistan,5600,,
42,Russia,5548,,
43,North Cyprus,5443,,
44,Croatia,5368,,
45,Bosnia and Herzegovina,5361,,
46,Jordan,5345,,
47,Kazakhstan,5342,,
48,Greece,5284,,
49,Egypt,5277,,
50,Hungary,5272,,
51,Dominican Republic,5239,,
52,Libya,5187,,
53,Moldova,5187,,
54,Montenegro,5181,,
55,Lebanon,5116,,
56,Lithuania,5036,,
57,Serbia,5036,,
58,Estonia,4998,,
59,Pakistan,4990,,
60,Macedonia,4970,,
61,Hong Kong,4963,,
62,Somaliland region,4900,,
63,South Africa,4784,,
64,Kyrgyzstan,4750,,
65,Nepal,4740,,
66,Azerbaijan,4735,,
67,Mauritania,4733,,
68,Latvia,4728,,
69,Palestinian Territories,4689,,
70,Gabon,4581,,
71,India,4549,,
72,Ukraine,4546,,
73,Botswana,4496,,
74,Mali,4477,,
75,Congo,4427,,
76,Brazzaville,4427,,
77,Chad,4339,,
78,Burkina Faso,4146,,
79,Djibouti,4139,,
80,Armenia,4101,,
81,Afghanistan,4068,,
82,Benin,4015,,
83,Guinea,3954,,
84,South Sudan,3925,,
85,Ivory Coast,3908,,
86,Rwanda,3899,,
87,Togo,3570,,
88,Syria,3516,,
