Country,value
Burundi,299569
Comoros,12555
Djibouti,116089
Eritrea,16041
Ethiopia,1227143
Kenya,1078572
Madagascar,33844
Malawi,237104
Mauritius,28713
Mayotte,74399
Mozambique,246954
R¨¦union,129153
Rwanda,443088
Seychelles,12926
Somalia,44868
South Sudan,845239
Uganda,1692120
United Republic of Tanzania,492574
Zambia,156982
Zimbabwe,403866
Angola,638499
Cameroon,540266
Central African Republic,88774
Chad,489690
Republic of the Congo,398890
Democratic Republic of the Congo,879223
Equatorial Guinea,221865
Gabon,280197
Sao Tome and Principe,2293
Algeria,248624
Egypt,478310
Libya,788419
Morocco,95835
Sudan,735821
Tunisia,57663
Western Sahara,5384
Botswana,166430
Lesotho,6749
Namibia,95067
South Africa,4036696
Swaziland,33263
Benin,253284
Burkina Faso,708921
Cabo Verde,15295
C?te d'Ivoire,2197152
Gambia,205063
Ghana,417642
Guinea,122796
Guinea-Bissau,23405
Liberia,98630
Mali,383721
Mauritania,168438
Niger,295610
Nigeria,1235088
Saint Helena,606
Senegal,265601
Sierra Leone,95248
Togo,283966
Kazakhstan,3635168
Kyrgyzstan,200294
Tajikistan,273259
Turkmenistan,195061
Uzbekistan,1159190
China,999527
"China, Hong Kong SAR",2883051
"China, Macao SAR",353654
North Korea,48939
Japan,2321476
Mongolia,18204
South Korea,1151865
Afghanistan,133612
Bangladesh,1500921
Bhutan,52296
India,5188550
Iran,2699155
Maldives,67026
Nepal,502670
Pakistan,3398154
Sri Lanka,40018
Brunei Darussalam,108612
Cambodia,76329
Indonesia,345930
Laos,45466
Malaysia,2703629
Myanmar,74660
Philippines,218530
Singapore,2623404
Thailand,3588873
Timor-Leste,12063
Vietnam,76104
Armenia,190719
Azerbaijan,259241
Bahrain,722649
Cyprus,188973
Georgia,78218
Iraq,366568
Israel,1962123
Jordan,3233553
Kuwait,3123431
Lebanon,1939212
Oman,2073292
Qatar,1721392
Saudi Arabia,12185284
State of Palestine,253735
Syria,1013818
Turkey,4881966
United Arab Emirates,8312524
Yemen,384321
Belarus,1078652
Bulgaria,153803
Czech Republic,433290
Hungary,503787
Poland,640937
Moldova,140045
Romania,370753
Russia,11651509
Slovakia,184642
Ukraine,4964293
Channel Islands,83082
Denmark,656789
Estonia,192962
Faeroe Islands,5735
Finland,343582
Iceland,41853
Ireland,806549
Isle of Man,45872
Latvia,256889
Lithuania,124706
Norway,798944
Sweden,1747710
United Kingdom,8841717
Albania,52484
Andorra,41039
Bosnia and Herzegovina,37100
Croatia,560483
Gibraltar,11152
Greece,1220395
Holy See,792
Italy,5907461
Malta,45539
Montenegro,70984
Portugal,880188
San Marino,5243
Republic of Serbia,801903
Slovenia,244790
Spain,5947106
Macedonia,130972
Austria,1660283
Belgium,1268411
France,7902783
Germany,12165083
Liechtenstein,24683
Luxembourg,264073
Monaco,21255
Netherlands,2056520
Switzerland,2506394
Anguilla,5579
Antigua and Barbuda,28646
Aruba,36356
Bahamas,61806
Barbados,34660
British Virgin Islands,19959
Caribbean Netherlands,13508
Cayman Islands,24355
Cuba,13136
Cura?ao,38396
Dominica,6782
Dominican Republic,424964
Grenada,7124
Guadeloupe,99350
Haiti,40533
Jamaica,23332
Martinique,61579
Montserrat,1364
Puerto Rico,273494
Saint Kitts and Nevis,7587
Saint Lucia,12889
Saint Vincent and the Grenadines,4595
Sint Maarten (Dutch part),28260
Trinidad and Tobago,50214
Turks and Caicos Islands,24534
United States Virgin Islands,56745
Belize,59998
Costa Rica,414214
El Salvador,42323
Guatemala,81528
Honduras,38700
Mexico,1224169
Nicaragua,41159
Panama,190728
Argentina,2164524
Bolivia,148837
Brazil,735557
Chile,488571
Colombia,142319
Ecuador,399068
Falkland Islands,1579
French Guiana,111718
Guyana,15530
Paraguay,160519
Peru,93780
Suriname,47699
Uruguay,79586
Venezuela,1426336
Bermuda,18954
Canada,7861226
Greenland,6014
Saint Pierre and Miquelon,990
United States of America,49776970
Australia,7035560
New Zealand,1067423
Fiji,13911
New Caledonia,66001
Papua New Guinea,32389
Solomon Islands,2532
Vanuatu,3245
Guam,78027
Kiribati,3022
Marshall Islands,3292
Micronesia (Fed. States of),2785
Nauru,3710
Northern Mariana Islands,21777
Palau,4988
American Samoa,23561
Cook Islands,4213
French Polynesia,30687
Niue,553
Samoa,4879
Tokelau,504
Tonga,4952
Tuvalu,143
Wallis and Futuna Islands,2779
